epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2135.04,1.20467,2.77359,1.31732,0.6615,0.63699,0.68327,0.46305,0.91702,1.74615,1.15457,0.000237636,0.000237636,0.000237636
2,3267.22,1.12986,1.68175,1.27321,0.77127,0.75457,0.80255,0.57765,0.86069,1.38488,1.11359,0.00045994,0.00045994,0.00045994
3,4391.67,1.08832,1.51754,1.2468,0.80746,0.73428,0.81802,0.59787,0.85395,1.26498,1.10075,0.000666536,0.000666536,0.000666536
4,5525.45,1.06256,1.42771,1.22815,0.75449,0.77083,0.82802,0.60004,0.81561,1.20084,1.06735,0.000643314,0.000643314,0.000643314
5,6636.47,1.03297,1.32258,1.20559,0.82131,0.79062,0.85832,0.63865,0.78586,1.08456,1.04346,0.000619752,0.000619752,0.000619752
6,7755.28,1.00342,1.25081,1.19147,0.86484,0.81803,0.88544,0.67849,0.73179,0.95043,1.01763,0.00059619,0.00059619,0.00059619
7,8891.31,0.99157,1.20144,1.18285,0.8404,0.84504,0.89879,0.69451,0.72305,0.9013,1.01868,0.000572628,0.000572628,0.000572628
8,10055.7,0.97282,1.16167,1.17559,0.87179,0.8697,0.91372,0.70087,0.74094,0.83782,1.03219,0.000549066,0.000549066,0.000549066
9,11185.6,0.95599,1.1143,1.16173,0.88422,0.85001,0.91258,0.71594,0.7137,0.80278,1.01286,0.000525504,0.000525504,0.000525504
10,12314.7,0.9406,1.07879,1.1541,0.87453,0.86638,0.91521,0.71891,0.68034,0.768,0.98747,0.000501942,0.000501942,0.000501942
11,13439,0.92244,1.03953,1.14506,0.91123,0.86248,0.92953,0.73713,0.6851,0.73009,0.99138,0.00047838,0.00047838,0.00047838
12,14582.3,0.92816,1.01899,1.14695,0.88613,0.87989,0.93058,0.74668,0.65315,0.6953,0.96471,0.000454818,0.000454818,0.000454818
13,15725.8,0.91206,0.99071,1.13999,0.92354,0.87538,0.9376,0.75123,0.66512,0.6656,0.97346,0.000431256,0.000431256,0.000431256
14,16851.9,0.90303,0.96716,1.13143,0.92818,0.8717,0.93505,0.75312,0.65672,0.66283,0.97249,0.000407694,0.000407694,0.000407694
15,17958.3,0.89268,0.94697,1.12408,0.9308,0.9027,0.94924,0.76855,0.62708,0.6008,0.95589,0.000384132,0.000384132,0.000384132
16,19081,0.88621,0.9276,1.12442,0.9149,0.8938,0.94596,0.7637,0.65211,0.60914,0.98032,0.00036057,0.00036057,0.00036057
17,20469.7,0.87709,0.90615,1.11834,0.91725,0.90399,0.94338,0.76037,0.63848,0.56691,0.98306,0.000337008,0.000337008,0.000337008
18,21593.7,0.86931,0.89164,1.11276,0.91866,0.89379,0.95116,0.76769,0.64682,0.5964,0.98518,0.000313446,0.000313446,0.000313446
19,22715.1,0.8514,0.85629,1.10635,0.93598,0.89862,0.95091,0.77416,0.62465,0.53208,0.96951,0.000289884,0.000289884,0.000289884
20,23836.1,0.85458,0.85008,1.10476,0.90996,0.91465,0.94786,0.77189,0.63282,0.54329,0.97273,0.000266322,0.000266322,0.000266322
21,24925.7,0.80433,0.71941,1.07141,0.93728,0.89678,0.95356,0.77803,0.63966,0.5627,0.97969,0.00024276,0.00024276,0.00024276
22,26020.4,0.78419,0.6845,1.06024,0.93073,0.91664,0.95908,0.79082,0.62535,0.51775,0.9732,0.000219198,0.000219198,0.000219198
23,27113.4,0.77613,0.67016,1.05561,0.93193,0.92637,0.96351,0.7968,0.61601,0.50285,0.97038,0.000195636,0.000195636,0.000195636
24,28224.1,0.75949,0.64494,1.04686,0.93245,0.92371,0.96666,0.79532,0.62184,0.48843,0.97059,0.000172074,0.000172074,0.000172074
25,29392.5,0.75461,0.63471,1.04464,0.95113,0.91601,0.96271,0.79439,0.60633,0.46955,0.95473,0.000148512,0.000148512,0.000148512
26,30566.8,0.73793,0.61284,1.03405,0.94144,0.93017,0.96716,0.79869,0.60168,0.46702,0.95797,0.00012495,0.00012495,0.00012495
27,31677.2,0.72835,0.59736,1.02891,0.94659,0.92375,0.96906,0.80231,0.60157,0.45209,0.9556,0.000101388,0.000101388,0.000101388
28,32780.6,0.71769,0.58862,1.02594,0.94566,0.93035,0.9672,0.80429,0.60702,0.46283,0.96421,7.7826e-05,7.7826e-05,7.7826e-05
29,33881,0.70985,0.579,1.02108,0.95198,0.92734,0.96984,0.806,0.59462,0.45159,0.94951,5.4264e-05,5.4264e-05,5.4264e-05
30,34981.1,0.70112,0.5676,1.01615,0.95031,0.93236,0.96776,0.80624,0.59144,0.43783,0.94927,3.0702e-05,3.0702e-05,3.0702e-05
