epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6665.11,1.23971,1.98829,1.44468,0.60744,0.58433,0.60322,0.40706,1.04228,1.90373,1.45914,0.000333078,0.000333078,0.0670253
2,12647.2,1.20264,1.74679,1.43521,0.68097,0.68259,0.74446,0.51036,1.05301,1.53019,1.43505,0.000658164,0.000658164,0.034017
3,18566.3,1.16796,1.63737,1.40484,0.73986,0.68932,0.76035,0.51975,1.01777,1.34198,1.40889,0.000975001,0.000975001,0.00100054
4,24450.1,1.12437,1.54165,1.37556,0.7869,0.75216,0.81766,0.60603,0.84937,1.10159,1.25452,0.000962875,0.000962875,0.000962875
5,30321,1.08846,1.43468,1.35699,0.7744,0.78417,0.84086,0.61639,0.89402,1.05261,1.30104,0.0009505,0.0009505,0.0009505
6,36315.6,1.06251,1.3589,1.33696,0.84179,0.78374,0.87519,0.64678,0.83736,0.92645,1.23618,0.000938125,0.000938125,0.000938125
7,42213.2,1.03568,1.31021,1.31971,0.8228,0.80003,0.87392,0.65912,0.79023,0.87846,1.20022,0.00092575,0.00092575,0.00092575
8,48085.1,1.02647,1.26036,1.3065,0.85318,0.81189,0.89405,0.68729,0.80119,0.91011,1.23265,0.000913375,0.000913375,0.000913375
9,53953.4,1.00524,1.21753,1.29482,0.87751,0.85553,0.91437,0.70368,0.75416,0.76843,1.17505,0.000901,0.000901,0.000901
10,59614.5,0.99444,1.18885,1.28706,0.85752,0.85312,0.91311,0.71848,0.71601,0.74721,1.1395,0.000888625,0.000888625,0.000888625
11,65216,0.98031,1.15633,1.27572,0.8934,0.86926,0.93464,0.73764,0.73653,0.72371,1.16784,0.00087625,0.00087625,0.00087625
12,70806.3,0.96013,1.11211,1.26343,0.89781,0.88281,0.93903,0.74796,0.70208,0.64601,1.13406,0.000863875,0.000863875,0.000863875
13,76489.9,0.96021,1.09134,1.2668,0.90114,0.88006,0.93961,0.73824,0.72757,0.67235,1.15687,0.0008515,0.0008515,0.0008515
14,82278.9,0.95514,1.08319,1.26507,0.89882,0.88932,0.94502,0.76738,0.65993,0.62533,1.09695,0.000839125,0.000839125,0.000839125
15,87845.3,0.94977,1.0638,1.25204,0.90312,0.87298,0.93464,0.74575,0.73187,0.64827,1.16737,0.00082675,0.00082675,0.00082675
16,93372.1,0.93025,1.03824,1.24244,0.8893,0.90195,0.94557,0.75515,0.69107,0.61262,1.12073,0.000814375,0.000814375,0.000814375
17,99006.8,0.93159,1.02243,1.24067,0.89256,0.88918,0.94261,0.74833,0.67946,0.62245,1.10758,0.000802,0.000802,0.000802
18,104652,0.91046,1.00173,1.22894,0.93263,0.90892,0.95632,0.77829,0.66615,0.572,1.10021,0.000789625,0.000789625,0.000789625
19,110324,0.91707,0.98822,1.23065,0.91206,0.89753,0.95072,0.77311,0.67404,0.58909,1.1107,0.00077725,0.00077725,0.00077725
20,115943,0.90502,0.96169,1.22316,0.91938,0.90865,0.95464,0.77043,0.68322,0.55921,1.11391,0.000764875,0.000764875,0.000764875
21,121575,0.90903,0.96975,1.22423,0.93145,0.91548,0.96142,0.78536,0.64634,0.527,1.07377,0.0007525,0.0007525,0.0007525
22,127262,0.89649,0.95418,1.21119,0.93391,0.93509,0.96011,0.78339,0.6664,0.54625,1.09506,0.000740125,0.000740125,0.000740125
23,132826,0.88773,0.94117,1.21303,0.91114,0.92467,0.95307,0.76836,0.68935,0.56681,1.12282,0.00072775,0.00072775,0.00072775
24,138496,0.87964,0.9169,1.20514,0.94127,0.92432,0.96484,0.79097,0.64103,0.50147,1.07424,0.000715375,0.000715375,0.000715375
25,144219,0.87973,0.91558,1.20581,0.93421,0.92597,0.96423,0.79449,0.63754,0.51242,1.06781,0.000703,0.000703,0.000703
26,149910,0.87059,0.89475,1.19959,0.93761,0.93112,0.96518,0.7984,0.63444,0.50921,1.07882,0.000690625,0.000690625,0.000690625
27,155638,0.87472,0.88155,1.19977,0.93213,0.9268,0.96502,0.80081,0.61712,0.47767,1.06117,0.00067825,0.00067825,0.00067825
28,161289,0.85811,0.86794,1.19059,0.92565,0.92845,0.96496,0.79735,0.6503,0.50555,1.08474,0.000665875,0.000665875,0.000665875
29,166969,0.85889,0.87501,1.19151,0.9331,0.93234,0.96509,0.80067,0.61887,0.48345,1.05559,0.0006535,0.0006535,0.0006535
30,172593,0.84726,0.85117,1.18107,0.93551,0.93211,0.96518,0.79998,0.63604,0.48249,1.07098,0.000641125,0.000641125,0.000641125
31,178308,0.84544,0.83816,1.18394,0.9505,0.94262,0.96789,0.80184,0.62182,0.43922,1.06634,0.00062875,0.00062875,0.00062875
32,184012,0.84776,0.85017,1.18283,0.94755,0.93875,0.97021,0.80842,0.60773,0.44626,1.0409,0.000616375,0.000616375,0.000616375
33,189602,0.83957,0.83635,1.17964,0.9424,0.94568,0.97398,0.8095,0.6094,0.44549,1.03892,0.000604,0.000604,0.000604
34,195143,0.83296,0.81347,1.17366,0.94637,0.94333,0.96858,0.80527,0.60165,0.44388,1.03548,0.000591625,0.000591625,0.000591625
35,200686,0.82447,0.80982,1.16802,0.94256,0.94244,0.97183,0.81538,0.59431,0.44617,1.03143,0.00057925,0.00057925,0.00057925
36,206267,0.82071,0.81504,1.16855,0.94833,0.94173,0.97409,0.81468,0.59392,0.44417,1.02999,0.000566875,0.000566875,0.000566875
37,211819,0.81825,0.7871,1.16175,0.9422,0.9292,0.96749,0.81362,0.59673,0.46729,1.03479,0.0005545,0.0005545,0.0005545
38,217372,0.81727,0.78816,1.16486,0.93929,0.93962,0.96545,0.81014,0.58919,0.44319,1.03496,0.000542125,0.000542125,0.000542125
39,223106,0.81236,0.78732,1.15879,0.9376,0.92933,0.96948,0.8105,0.61623,0.44545,1.05756,0.00052975,0.00052975,0.00052975
40,228852,0.81322,0.78375,1.16106,0.93185,0.95586,0.97147,0.81502,0.59939,0.42621,1.04271,0.000517375,0.000517375,0.000517375
41,234447,0.7975,0.7638,1.15189,0.94956,0.94706,0.97246,0.82042,0.58551,0.41708,1.03394,0.000505,0.000505,0.000505
42,240128,0.8064,0.77698,1.15724,0.95065,0.94729,0.97222,0.82212,0.58262,0.42675,1.03119,0.000492625,0.000492625,0.000492625
43,245680,0.80251,0.75112,1.15097,0.93923,0.94291,0.97095,0.81792,0.59691,0.43183,1.03225,0.00048025,0.00048025,0.00048025
44,251355,0.79249,0.74813,1.14786,0.94499,0.951,0.97341,0.82292,0.59123,0.41866,1.03599,0.000467875,0.000467875,0.000467875
45,257692,0.79015,0.74484,1.14782,0.95563,0.94477,0.97425,0.82352,0.57423,0.40894,1.02518,0.0004555,0.0004555,0.0004555
46,265584,0.7838,0.73899,1.14163,0.94353,0.94973,0.9754,0.82628,0.56206,0.40995,1.00104,0.000443125,0.000443125,0.000443125
47,271124,0.77907,0.72837,1.13827,0.95374,0.95283,0.97889,0.8296,0.55902,0.39226,1.00711,0.00043075,0.00043075,0.00043075
48,276619,0.77969,0.72551,1.13842,0.9458,0.96359,0.97762,0.83451,0.56448,0.40192,1.01491,0.000418375,0.000418375,0.000418375
49,282297,0.7749,0.72033,1.13688,0.95733,0.95356,0.9764,0.8242,0.56541,0.38929,1.02014,0.000406,0.000406,0.000406
50,287848,0.7667,0.70661,1.13019,0.96188,0.95266,0.97688,0.83362,0.55768,0.38199,1.00636,0.000393625,0.000393625,0.000393625
51,293442,0.77189,0.70509,1.13264,0.95234,0.95698,0.97652,0.8336,0.55421,0.37638,1.00465,0.00038125,0.00038125,0.00038125
52,299022,0.76113,0.70678,1.12833,0.9624,0.94203,0.97375,0.82864,0.55993,0.38991,1.01343,0.000368875,0.000368875,0.000368875
53,304628,0.76084,0.69095,1.12641,0.95952,0.95288,0.97454,0.82869,0.56682,0.3848,1.018,0.0003565,0.0003565,0.0003565
54,310231,0.75759,0.69256,1.12339,0.9642,0.95147,0.9785,0.8369,0.54957,0.3718,0.99521,0.000344125,0.000344125,0.000344125
55,316124,0.74887,0.67693,1.11664,0.9548,0.96411,0.97772,0.84132,0.54452,0.371,0.99435,0.00033175,0.00033175,0.00033175
56,322022,0.75534,0.69123,1.12518,0.96749,0.94739,0.97924,0.83588,0.55837,0.36924,1.0059,0.000319375,0.000319375,0.000319375
57,328318,0.74437,0.67008,1.11449,0.95924,0.95932,0.98045,0.83823,0.54577,0.37136,0.99317,0.000307,0.000307,0.000307
58,335677,0.74307,0.67493,1.11775,0.94257,0.96881,0.9811,0.84241,0.53553,0.35948,0.98721,0.000294625,0.000294625,0.000294625
59,343355,0.73313,0.66076,1.10926,0.96005,0.95287,0.98108,0.84551,0.53224,0.35783,0.986,0.00028225,0.00028225,0.00028225
60,349040,0.73275,0.66696,1.11178,0.96699,0.9638,0.98235,0.84533,0.53365,0.34348,0.98716,0.000269875,0.000269875,0.000269875
61,356112,0.72883,0.65307,1.10897,0.96121,0.9668,0.97957,0.84415,0.53296,0.35208,0.98863,0.0002575,0.0002575,0.0002575
62,361712,0.72845,0.6464,1.10584,0.96513,0.95923,0.98123,0.84298,0.53378,0.35439,0.98643,0.000245125,0.000245125,0.000245125
63,367305,0.72375,0.64537,1.10573,0.96391,0.96213,0.97924,0.84323,0.53379,0.35283,0.98624,0.00023275,0.00023275,0.00023275
64,372882,0.72627,0.64922,1.10655,0.95612,0.96827,0.98093,0.84687,0.52521,0.34055,0.97719,0.000220375,0.000220375,0.000220375
65,378491,0.71693,0.63616,1.1018,0.9694,0.95125,0.98201,0.84682,0.52481,0.34696,0.98011,0.000208,0.000208,0.000208
66,384237,0.71244,0.62742,1.09826,0.95853,0.9672,0.98343,0.84919,0.52446,0.34566,0.98404,0.000195625,0.000195625,0.000195625
67,389906,0.7075,0.62059,1.09591,0.96411,0.96405,0.98131,0.849,0.52877,0.33902,0.98495,0.00018325,0.00018325,0.00018325
68,395643,0.70567,0.62296,1.09572,0.96382,0.96467,0.98326,0.84979,0.52025,0.3368,0.97854,0.000170875,0.000170875,0.000170875
69,402768,0.70216,0.61426,1.09009,0.96059,0.97238,0.98488,0.85696,0.51255,0.32824,0.97244,0.0001585,0.0001585,0.0001585
70,410100,0.70246,0.61097,1.09274,0.96706,0.96358,0.98391,0.85411,0.51596,0.32724,0.9732,0.000146125,0.000146125,0.000146125
71,416053,0.60789,0.43093,1.0265,0.965,0.96472,0.98116,0.84932,0.52297,0.34344,0.98137,0.00013375,0.00013375,0.00013375
72,421569,0.59501,0.416,1.01545,0.96613,0.96412,0.98104,0.84871,0.52001,0.33642,0.98388,0.000121375,0.000121375,0.000121375
73,427104,0.59048,0.41396,1.01373,0.96509,0.96622,0.98097,0.84951,0.50934,0.33363,0.96908,0.000109,0.000109,0.000109
74,432629,0.58111,0.40171,1.0068,0.96186,0.97241,0.98241,0.85311,0.50271,0.32147,0.96425,9.6625e-05,9.6625e-05,9.6625e-05
75,438112,0.57268,0.40091,1.00523,0.96309,0.9738,0.98246,0.85517,0.50167,0.32357,0.96237,8.425e-05,8.425e-05,8.425e-05
76,443630,0.57364,0.39734,1.00573,0.96512,0.97088,0.98331,0.85633,0.50244,0.32035,0.96372,7.1875e-05,7.1875e-05,7.1875e-05
77,449220,0.57362,0.39638,1.00454,0.96302,0.97068,0.98323,0.85642,0.49892,0.32096,0.95916,5.95e-05,5.95e-05,5.95e-05
78,454760,0.56643,0.38854,0.99906,0.96497,0.96795,0.98379,0.85415,0.50149,0.32202,0.9606,4.7125e-05,4.7125e-05,4.7125e-05
79,460300,0.56212,0.38452,0.99782,0.96696,0.96841,0.9842,0.85577,0.50106,0.32379,0.96023,3.475e-05,3.475e-05,3.475e-05
80,465859,0.55975,0.38132,0.99755,0.96314,0.97061,0.98451,0.85584,0.50174,0.32245,0.9601,2.2375e-05,2.2375e-05,2.2375e-05
